2026-01-09 21:45:32.158673,1,2
2026-01-09 21:45:32.160298,2,2
2026-01-10 17:46:02.943249,1,2
2026-01-10 17:46:02.946714,1,2
2026-01-10 18:37:11.434583,1,5
2026-01-10 18:37:11.436097,2,5
2026-01-10 18:37:11.437162,2,5
2026-01-10 18:37:11.453057,3,5
2026-01-10 18:37:11.454558,4,5
2026-01-10 18:37:32.354293,1,5
2026-01-10 18:37:32.355785,2,5
2026-01-10 18:37:32.357354,3,5
2026-01-10 18:37:32.358288,4,5
2026-01-10 18:37:32.359282,5,5
2026-01-10 20:43:44.522501,1,5
2026-01-10 20:43:44.524497,2,5
2026-01-10 20:43:44.525794,2,5
2026-01-10 20:43:44.527290,2,5
2026-01-10 20:43:44.528472,3,5
